"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2013","122.86","122.86","122.86","122.86","-","-0.02%"
"Sep 12, 2013","122.88","122.88","122.88","122.88","-","-0.03%"
"Sep 11, 2013","122.92","122.92","122.92","122.92","-","-0.16%"
"Sep 10, 2013","123.12","123.12","123.12","123.12","-","0.29%"
"Sep 09, 2013","122.76","122.76","122.76","122.76","-","0.38%"
"Sep 06, 2013","122.30","122.30","122.30","122.30","-","0.39%"
"Sep 05, 2013","121.82","121.82","121.82","121.82","-","0.94%"
"Sep 04, 2013","120.69","120.69","120.69","120.69","-","0.69%"
"Sep 03, 2013","119.86","119.86","119.86","119.86","-","0.33%"
"Sep 02, 2013","119.47","119.47","119.47","119.47","-","-0.41%"
"Aug 30, 2013","119.96","119.96","119.96","119.96","-","-0.36%"
"Aug 29, 2013","120.39","120.39","120.39","120.39","-","-0.70%"
"Aug 28, 2013","121.24","121.24","121.24","121.24","-","-1.31%"
"Aug 27, 2013","122.85","122.85","122.85","122.85","-","-1.21%"
"Aug 26, 2013","124.36","124.36","124.36","124.36","-","-0.09%"
"Aug 23, 2013","124.47","124.47","124.47","124.47","-","0.09%"
"Aug 22, 2013","124.36","124.36","124.36","124.36","-","-0.44%"
"Aug 21, 2013","124.91","124.91","124.91","124.91","-","-0.72%"
"Aug 20, 2013","125.82","125.82","125.82","125.82","-","-0.31%"
"Aug 19, 2013","126.21","126.21","126.21","126.21","-","0.21%"
"Aug 16, 2013","125.95","125.95","125.95","125.95","-","0.14%"
"Aug 15, 2013","125.77","125.77","125.77","125.77","-","0.76%"
"Aug 13, 2013","124.82","124.82","124.82","124.82","-","-0.45%"
"Aug 12, 2013","125.39","125.39","125.39","125.39","-","0.58%"
"Aug 08, 2013","124.67","124.67","124.67","124.67","-","0.91%"
"Aug 07, 2013","123.55","123.55","123.55","123.55","-","0.16%"
"Aug 06, 2013","123.35","123.35","123.35","123.35","-","0.05%"
"Aug 05, 2013","123.29","123.29","123.29","123.29","-","-0.01%"
"Aug 02, 2013","123.30","123.30","123.30","123.30","-","0.22%"
"Aug 01, 2013","123.03","123.03","123.03","123.03","-","0.14%"
"Jul 31, 2013","122.86","122.86","122.86","122.86","-","-0.62%"
"Jul 30, 2013","123.63","123.63","123.63","123.63","-","0.32%"
"Jul 29, 2013","123.23","123.23","123.23","123.23","-","-0.39%"
"Jul 26, 2013","123.71","123.71","123.71","123.71","-","0.40%"
"Jul 25, 2013","123.22","123.22","123.22","123.22","-","0.01%"
"Jul 24, 2013","123.21","123.21","123.21","123.21","-","0.24%"
"Jul 23, 2013","122.92","122.92","122.92","122.92","-","-0.45%"
"Jul 22, 2013","123.48","123.48","123.48","123.48","-","-0.18%"
"Jul 19, 2013","123.70","123.70","123.70","123.70","-","0.23%"
"Jul 18, 2013","123.42","123.42","123.42","123.42","-","-0.79%"
"Jul 17, 2013","124.40","124.40","124.40","124.40","-","0.97%"
"Jul 16, 2013","123.21","123.21","123.21","123.21","-","0.57%"
"Jul 15, 2013","122.51","122.51","122.51","122.51","-","0.92%"
"Jul 12, 2013","121.39","121.39","121.39","121.39","-","1.27%"
"Jul 11, 2013","119.87","119.87","119.87","119.87","-","0.86%"
"Jul 10, 2013","118.85","118.85","118.85","118.85","-","0.57%"
"Jul 09, 2013","118.18","118.18","118.18","118.18","-","0.13%"
"Jul 08, 2013","118.03","118.03","118.03","118.03","-","0.59%"
"Jul 05, 2013","117.34","117.34","117.34","117.34","-","0.95%"
"Jul 04, 2013","116.23","116.23","116.23","116.23","-","0.65%"
"Jul 03, 2013","115.48","115.48","115.48","115.48","-","0.03%"
"Jul 02, 2013","115.44","115.44","115.44","115.44","-","-0.17%"
"Jul 01, 2013","115.64","115.64","115.64","115.64","-","-0.58%"
"Jun 28, 2013","116.31","116.31","116.31","116.31","-","0.06%"
"Jun 26, 2013","116.24","116.24","116.24","116.24","-","-0.90%"
"Jun 25, 2013","117.29","117.29","117.29","117.29","-","-0.92%"
"Jun 24, 2013","118.38","118.38","118.38","118.38","-","-1.05%"
"Jun 23, 2013","119.64","119.64","119.64","119.64","-","0.00%"
"Jun 21, 2013","119.64","119.64","119.64","119.64","-","-0.57%"
"Jun 20, 2013","120.33","120.33","120.33","120.33","-","0.59%"
"Jun 19, 2013","119.62","119.62","119.62","119.62","-","0.71%"
"Jun 18, 2013","118.78","118.78","118.78","118.78","-","-0.71%"
"Jun 17, 2013","119.63","119.63","119.63","119.63","-","-1.35%"
"Jun 14, 2013","121.27","121.27","121.27","121.27","-","-1.38%"
"Jun 13, 2013","122.97","122.97","122.97","122.97","-","-1.01%"
"Jun 12, 2013","124.23","124.23","124.23","124.23","-","-0.81%"
"Jun 11, 2013","125.24","125.24","125.24","125.24","-","-0.66%"
"Jun 10, 2013","126.07","126.07","126.07","126.07","-","-0.10%"
"Jun 07, 2013","126.19","126.19","126.19","126.19","-","-0.31%"
"Jun 06, 2013","126.58","126.58","126.58","126.58","-","-0.08%"
"Jun 05, 2013","126.68","126.68","126.68","126.68","-","0.00%"
"Jun 04, 2013","126.68","126.68","126.68","126.68","-","-0.10%"
"Jun 03, 2013","126.81","126.81","126.81","126.81","-","0.01%"
"May 31, 2013","126.80","126.80","126.80","126.80","-","0.06%"
"May 30, 2013","126.72","126.72","126.72","126.72","-","0.20%"
"May 29, 2013","126.47","126.47","126.47","126.47","-","-0.23%"
"May 28, 2013","126.76","126.76","126.76","126.76","-","0.40%"
"May 27, 2013","126.25","126.25","126.25","126.25","-","-0.50%"
"May 24, 2013","126.89","126.89","126.89","126.89","-","-0.69%"
"May 23, 2013","127.77","127.77","127.77","127.77","-","-0.90%"
"May 22, 2013","128.93","128.93","128.93","128.93","-","0.88%"
"May 21, 2013","127.81","127.81","127.81","127.81","-","0.86%"
"May 20, 2013","126.72","126.72","126.72","126.72","-","-0.02%"
"May 17, 2013","126.75","126.75","126.75","126.75","-","0.18%"
"May 16, 2013","126.52","126.52","126.52","126.52","-","1.09%"
"May 15, 2013","125.16","125.16","125.16","125.16","-","1.87%"
"May 14, 2013","122.86","122.86","122.86","122.86","-","0.24%"
"May 13, 2013","122.57","122.57","122.57","122.57","-","0.04%"
"May 10, 2013","122.52","122.52","122.52","122.52","-","-0.67%"
"May 09, 2013","123.35","123.35","123.35","123.35","-","0.37%"
"May 08, 2013","122.90","122.90","122.90","122.90","-","0.78%"
"May 07, 2013","121.95","121.95","121.95","121.95","-","0.79%"
"May 06, 2013","120.99","120.99","120.99","120.99","-","0.77%"
"May 03, 2013","120.06","120.06","120.06","120.06","-","0.48%"
"May 02, 2013","119.49","119.49","119.49","119.49","-","1.20%"
"Apr 30, 2013","118.07","118.07","118.07","118.07","-","0.60%"
"Apr 29, 2013","117.36","117.36","117.36","117.36","-","-0.04%"
"Apr 26, 2013","117.41","117.41","117.41","117.41","-","-0.05%"
"Apr 25, 2013","117.47","117.47","117.47","117.47","-","-0.77%"
"Apr 24, 2013","118.38","118.38","118.38","118.38","-","0.34%"
"Apr 23, 2013","117.98","117.98","117.98","117.98","-","-0.24%"
"Apr 22, 2013","118.26","118.26","118.26","118.26","-","-0.61%"
"Apr 19, 2013","118.99","118.99","118.99","118.99","-","-0.39%"
"Apr 18, 2013","119.46","119.46","119.46","119.46","-","-0.23%"
"Apr 17, 2013","119.73","119.73","119.73","119.73","-","-0.35%"
"Apr 16, 2013","120.15","120.15","120.15","120.15","-","-0.65%"
"Apr 15, 2013","120.94","120.94","120.94","120.94","-","-0.63%"
"Apr 12, 2013","121.71","121.71","121.71","121.71","-","-0.35%"
"Apr 11, 2013","122.14","122.14","122.14","122.14","-","0.50%"
"Apr 10, 2013","121.53","121.53","121.53","121.53","-","0.93%"
"Apr 08, 2013","120.41","120.41","120.41","120.41","-","-0.20%"
"Apr 05, 2013","120.65","120.65","120.65","120.65","-","0.17%"
"Apr 04, 2013","120.45","120.45","120.45","120.45","-","-0.93%"
"Apr 03, 2013","121.58","121.58","121.58","121.58","-","0.00%"
"Apr 02, 2013","121.58","121.58","121.58","121.58","-","3.11%"
"Mar 28, 2013","117.91","117.91","117.91","117.91","-","0.58%"
"Mar 27, 2013","117.23","117.23","117.23","117.23","-","2.13%"
"Mar 26, 2013","114.78","114.78","114.78","114.78","-","0.60%"
"Mar 25, 2013","114.09","114.09","114.09","114.09","-","0.78%"
"Mar 21, 2013","113.21","113.21","113.21","113.21","-","-0.27%"
"Mar 20, 2013","113.52","113.52","113.52","113.52","-","0.28%"
"Mar 19, 2013","113.20","113.20","113.20","113.20","-","0.57%"
"Mar 18, 2013","112.56","112.56","112.56","112.56","-","-0.59%"
"Mar 15, 2013","113.23","113.23","113.23","113.23","-","-2.33%"
"Mar 14, 2013","115.93","115.93","115.93","115.93","-","-1.77%"
