"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2005","3,951.59","3,951.59","3,951.59","3,951.59","-","0.13%"
"Nov 17, 2005","3,946.41","3,946.41","3,946.41","3,946.41","-","0.45%"
"Nov 16, 2005","3,928.79","3,928.79","3,928.79","3,928.79","-","-0.24%"
"Nov 15, 2005","3,938.06","3,938.06","3,938.06","3,938.06","-","0.20%"
"Nov 14, 2005","3,930.18","3,930.18","3,930.18","3,930.18","-","0.05%"
"Nov 11, 2005","3,928.16","3,928.16","3,928.16","3,928.16","-","0.41%"
"Nov 10, 2005","3,912.15","3,912.15","3,912.15","3,912.15","-","-0.12%"
"Nov 09, 2005","3,917.04","3,917.04","3,917.04","3,917.04","-","0.04%"
"Nov 08, 2005","3,915.45","3,915.45","3,915.45","3,915.45","-","0.42%"
"Nov 07, 2005","3,898.89","3,898.89","3,898.89","3,898.89","-","0.46%"
"Nov 03, 2005","3,880.88","3,880.88","3,880.88","3,880.88","-","-0.32%"
"Nov 02, 2005","3,893.23","3,893.23","3,893.23","3,893.23","-","-0.33%"
"Nov 01, 2005","3,906.04","3,906.04","3,906.04","3,906.04","-","-0.85%"
"Oct 31, 2005","3,939.45","3,939.45","3,939.45","3,939.45","-","-0.93%"
"Oct 28, 2005","3,976.62","3,976.62","3,976.62","3,976.62","-","0.32%"
"Oct 27, 2005","3,964.10","3,964.10","3,964.10","3,964.10","-","-0.59%"
"Oct 26, 2005","3,987.52","3,987.52","3,987.52","3,987.52","-","-0.33%"
"Oct 25, 2005","4,000.86","4,000.86","4,000.86","4,000.86","-","-0.14%"
"Oct 24, 2005","4,006.61","4,006.61","4,006.61","4,006.61","-","-0.05%"
"Oct 21, 2005","4,008.76","4,008.76","4,008.76","4,008.76","-","0.17%"
"Oct 19, 2005","4,001.76","4,001.76","4,001.76","4,001.76","-","0.55%"
"Oct 18, 2005","3,979.95","3,979.95","3,979.95","3,979.95","-","0.57%"
"Oct 17, 2005","3,957.38","3,957.38","3,957.38","3,957.38","-","0.92%"
"Oct 14, 2005","3,921.40","3,921.40","3,921.40","3,921.40","-","0.33%"
"Oct 13, 2005","3,908.63","3,908.63","3,908.63","3,908.63","-","0.75%"
"Oct 12, 2005","3,879.72","3,879.72","3,879.72","3,879.72","-","0.87%"
"Oct 11, 2005","3,846.16","3,846.16","3,846.16","3,846.16","-","0.07%"
"Oct 07, 2005","3,843.49","3,843.49","3,843.49","3,843.49","-","0.08%"
"Oct 06, 2005","3,840.40","3,840.40","3,840.40","3,840.40","-","-0.05%"
"Oct 05, 2005","3,842.16","3,842.16","3,842.16","3,842.16","-","-0.69%"
"Oct 04, 2005","3,868.87","3,868.87","3,868.87","3,868.87","-","0.99%"
"Oct 03, 2005","3,831.01","3,831.01","3,831.01","3,831.01","-","-0.04%"
"Sep 30, 2005","3,832.69","3,832.69","3,832.69","3,832.69","-","0.03%"
"Sep 29, 2005","3,831.41","3,831.41","3,831.41","3,831.41","-","0.29%"
"Sep 28, 2005","3,820.48","3,820.48","3,820.48","3,820.48","-","0.11%"
"Sep 27, 2005","3,816.37","3,816.37","3,816.37","3,816.37","-","0.38%"
"Sep 26, 2005","3,801.74","3,801.74","3,801.74","3,801.74","-","0.27%"
"Sep 23, 2005","3,791.57","3,791.57","3,791.57","3,791.57","-","-0.16%"
"Sep 22, 2005","3,797.74","3,797.74","3,797.74","3,797.74","-","0.44%"
"Sep 21, 2005","3,781.03","3,781.03","3,781.03","3,781.03","-","-0.02%"
"Sep 20, 2005","3,781.75","3,781.75","3,781.75","3,781.75","-","-0.26%"
"Sep 19, 2005","3,791.59","3,791.59","3,791.59","3,791.59","-","-0.27%"
"Sep 16, 2005","3,801.87","3,801.87","3,801.87","3,801.87","-","-0.46%"
"Sep 15, 2005","3,819.56","3,819.56","3,819.56","3,819.56","-","0.88%"
"Sep 14, 2005","3,786.10","3,786.10","3,786.10","3,786.10","-","-0.53%"
"Sep 13, 2005","3,806.32","3,806.32","3,806.32","3,806.32","-","-0.71%"
"Sep 12, 2005","3,833.60","3,833.60","3,833.60","3,833.60","-","-0.35%"
"Sep 09, 2005","3,847.17","3,847.17","3,847.17","3,847.17","-","0.03%"
"Sep 08, 2005","3,845.97","3,845.97","3,845.97","3,845.97","-","0.00%"
"Sep 07, 2005","3,845.93","3,845.93","3,845.93","3,845.93","-","-0.76%"
"Sep 06, 2005","3,875.43","3,875.43","3,875.43","3,875.43","-","-0.27%"
"Sep 05, 2005","3,885.88","3,885.88","3,885.88","3,885.88","-","0.03%"
"Sep 02, 2005","3,884.63","3,884.63","3,884.63","3,884.63","-","-1.01%"
"Sep 01, 2005","3,924.11","3,924.11","3,924.11","3,924.11","-","-0.37%"
"Aug 31, 2005","3,938.70","3,938.70","3,938.70","3,938.70","-","-0.02%"
"Aug 30, 2005","3,939.66","3,939.66","3,939.66","3,939.66","-","-0.26%"
"Aug 29, 2005","3,949.74","3,949.74","3,949.74","3,949.74","-","-0.77%"
"Aug 26, 2005","3,980.37","3,980.37","3,980.37","3,980.37","-","-0.31%"
"Aug 25, 2005","3,992.57","3,992.57","3,992.57","3,992.57","-","-0.63%"
"Aug 24, 2005","4,017.89","4,017.89","4,017.89","4,017.89","-","-0.18%"
"Aug 23, 2005","4,025.14","4,025.14","4,025.14","4,025.14","-","-0.23%"
"Aug 22, 2005","4,034.37","4,034.37","4,034.37","4,034.37","-","-0.32%"
"Aug 19, 2005","4,047.26","4,047.26","4,047.26","4,047.26","-","0.05%"
"Aug 18, 2005","4,045.20","4,045.20","4,045.20","4,045.20","-","-0.07%"
"Aug 17, 2005","4,048.12","4,048.12","4,048.12","4,048.12","-","0.31%"
"Aug 16, 2005","4,035.72","4,035.72","4,035.72","4,035.72","-","0.48%"
"Aug 15, 2005","4,016.32","4,016.32","4,016.32","4,016.32","-","0.10%"
